ID,Name,First,Last,City,State,Publisher,Subject,Link
1,"2 Hype",1990,1993,"River Edge","New Jersey","Word Up! Video Productions","Rap music | Music | Jews | Hip hop culture",
2,"2 Live Crew",1991,,"Seattle","Washington","Eros Comix","Rap music | Comic books, strips, etc. | Censorship | Live Crew",
3,"The 2 Spot",1936,1938,"Chapman","Alabama","Civilian Conservation Corps","W.B. Kennedy Lodge No. | Civilian Conservation Corps",
4,"The 3rd Eye",1980,,"New Orleans","Louisiana","Zamani Sasa Organization","Lifestyle | Education",
5,"40 Acres and a Mule",1978,1980,"Jackson","Mississippi","Cooperative Advertisers, Sept","Southern States—Rural conditions | Southern States—Economic conditions | Land tenure",
6,"40 Acres and a Mule",1967,1971,"New York","New York","New York Urban League, Educational Program","Youth | Sports | Poetry | Juvenile literature | History | Education | Biography",
7,"The ‘48’",1944,,"Washington","District of Columbia","Howard University, University Assembly","Howard University | Colleges and universities—Students",
8,"78 Quarterly",1988,,"Key West","Florida","Whelan, Pete","Sound recordings—Collectors and collecting | Jazz | Blues (Music)",
9,"211 Park St.: Newsletter of the Afro-American Cultural Center at Yale",1981,,"New Haven","Connecticut","Yale University","Yale University (New Haven, CT) | Colleges and universities—Students",
11,"1980 Update",1980,,"Washington","District of Columbia","United States Department of Agriculture","Colleges and universities | Agriculture",
12,"4080 Hip Hop Magazine",1992,,"Berkeley","California","McIntyre, Lauchlan E.S.","Music reviews | Music | Hip hop culture",
13,"The 4435 Flash",1936,1938,"Brundidge","Alabama","Civilian Conservation Corps","Civilian Conservation Corps",
14,"A&L Newsletter",1989,,"Norfolk","Virginia","Norfolk State University, School of Arts and Letters","School of Arts and Letters, Norfolk State University (Norfolk, VA) | Colleges and universities—Students",
16,"A&T Faculty and Staff Newsletter",1967,,"Greensboro","North Carolina","th U.S. Cavalry","Education (Higher) | Colleges and universities—Faculty and staff",
17,"The A&T Register",1928,,"Greensboro","North Carolina","North Carolina State University (Greensboro, NC)","North Carolina A & T State University (Greensboro, NC) | Colleges and universities—Students",
18,"A&T Today",1914,,"Greensboro","North Carolina","North Carolina State University (Greensboro, NC)","North Carolina A & T State University (Greensboro, NC) | Colleges and universities—Students | Colleges and universities—Alumni",
19,"A&T Update",1983,,"Greensboro","North Carolina","North Carolina State University (Greensboro, NC)","North Carolina A & T State University (Greensboro, NC) | Colleges and universities—Students | Colleges and universities—Faculty and staff | Colleges and universities—Alumni",
20,"A Fe Wi",1991,1991,"Oakland","California","Afro Caribee Women’s Association","Women | Finance | Family | Employment | Education | Careers",
21,"The AABE Energy News",1990,,"Washington","District of Columbia","American Association of Blacks in Energy","Energy",
22,"AACC News",1978,,"New York","New York","Center for Constitutional Rights","Affirmative action",
23,"AAGRI News",1995,,"Matteson","Illinois","African-American Genealogical Research Institute","Genealogy",
25,"AAHAL",1996,,"New Orleans","Louisiana","African American History Alliance of Louisiana","Louisiana—History | History",
26,"AAHGS News",1981,,"Washington","District of Columbia","Afro-American Historical and Genealogical Society, Washington, DC","History | Historical societies | Genealogy",
27,"AAI Bulletin",1973,,"New York","New York","African American Institute","Africa",
28,"AALC Reporter",1965,1996,"Washington","District of Columbia","African-American Labor Center","Trade Unions | Labor | Africa",
29,"AAMOA Reports",1969,,"Minneapolis","Minnesota","Afro-American Music Opportunities Association, Inc.","Music reviews | Music | Employment",
30,"AAO Informer",1988,,"Daytona Beach","Florida","Bethune-Cookman College, Academic Affairs Office","Colleges and universities—Faculty and staff | Bethune-Cookman College (Daytona Beach, FL)",
31,"Aaron Davis Hall News",1989,,"New York","New York","City College of City University of New York","Colleges and universities—Students | City College of the City University of New York (New York, NY)",
32,"AAWBON",1993,1993,"Dallas","Texas","African American Women/Business Owners Network","Women | Business",
34,"ABA Bulletin",1938,,"Atlanta","Georgia","American Bridge Association","Bridge (Card game)",
36,"Abafazi: The Simmons College Review of Women of African Descent",1991,,"Boston","Massachusetts","Simmons College","Women | Short stories | Poetry | Fiction",
37,"Abbott’s Monthly",1930,1933,"Chicago","Illinois","Abbott, Robert S. Publishing Co.","Sports | Short stories | Poetry | Entertainment",
39,"ABBWA Journal",1986,1994,"Marina del Rey","California","American Black Book Writers Association Inc.","Publishers and publishing | Authors",
40,"ABC Newsletter",1986,,"New Haven","Connecticut","th College Training Detachment, Students","Adoption",
41,"TheABNF Journal",1990,,"Lisle","Illinois","Tucker Publications, Inc.","Nursing research | Nursing | Medicine | Health Care",
44,"The Abolitionist",1833,1833,"Boston","Massachusetts","Committee of the New-England Anti-slavery Society","Slavery | Abolitionists",
46,"About.. .Time",1972,,"Rochester","New York","About Time Magazine, Inc.","Poetry | Music reviews | Monroe County (NY) community | Film reviews | Fashion",
47,"ABPA News",1987,,"New York","New York","Association of Black Princeton Alumni","Princeton University | Colleges and universities—Alumni",
48,"Absalom Jones Students Association Newsletter",1976,,"Washington","District of Columbia","Howard University, Absalom Jones Students Association","Poetry | Howard University, Absalom Jones Students Association | Howard University | Colleges and universities—Students | Absalom Jones Students Association, Howard University",
49,"Abundant Living",1982,,"Baltimore","Maryland","First United Church of Jesus Christ, Apostolic","Religion | First United Church of Jesus Christ, Apostolic",
50,"ABWHE Newsletter",1981,,"Albany","New York","Association of Black Women in Higher Education","Women | Education (Higher)",
51,"The Abyssinian: A Church to Match These Times",1964,,"New York","New York","Abyssinian Baptist Council","Religion | Abyssinian Baptist Church",
53,"The Abyssinian News Letter",1975,,"New York","New York","Abyssinian Baptist Church","Religion | Abyssinian Baptist Church",
54,"Abyssinian Papyrus",1994,,"New York","New York","Abyssinian Baptist Church","Religion | Abyssinian Baptist Church",
55,"Acacia News",1991,,"Louisville","Kentucky","Office of African American Catholic Ministers","Religion | Catholic Church",
56,"Academic Affairs Newsletter",1977,1982,"Grambling","Louisiana","Grambling State University (Grambling, LA)","Grambling State University (Grambling, LA) | Colleges and universities—Faculty and staff",
57,"Academic Focus",1980,1981,"Petersburg","Virginia","Virginia State University, Office of the Vice President for Academic Affairs","Virginia State University (Petersburg, VA) | Colleges and universities—Faculty and staff",
58,"ACASA Newsletter",1982,,"Washington","District of Columbia","African Studies Association, Arts Council","Museums | Art | Archaeology | African Studies Association, Arts Council | Africa",
59,"ACBES Newsletter",1984,,"Phoenix","Arizona","Arizona Council of Black Engineers and Scientists","Science | Engineering",
60,"Accent/L.A",1990,1992,"Los Angeles","California","Edwards, James","Entertainment | Community newsletter | Art",
61,"Accents on Hair",1994,,"Brooklyn","New York","Misantrope, Michel Thomas","Women | Hairdressing",
66,"ACHR Bulletin",1969,,"Auburn","Alabama","Alabama Council on Human Relations","Race relations | Civil rights",
67,"ACOA Action News",1979,1993,"New York","New York","American Committee on Africa","South Africa | International relations | Africa",
68,"The Acomsinc Bulletin",1942,,"Atlanta","Georgia","Atlanta College of Embalming and Mortuary Science","National Negro Funeral Directors Association | Mortuary Science",
69,"The Acorn: A Journal of Student Activity",1932,1945,"Huntsville","Alabama","Oakwood Junior College","Oakwood College (Huntsville, AL) | Colleges and universities—Students",
70,"The Acorn",1950,,"Brooklyn","New York","Lambda Kappa Mu Sorority","Women | Sorority newsletter | Lambda Kappa Mu Sorority | Fraternities and sororities",
71,"Action",1964,,"Brooklyn","New York","CORE, Brooklyn","Housing | Employment | Congress of Racial Equality | Civil rights",
72,"Action",1972,,"Prairie View","Texas","Prairie View A&M University, Office of Publications","Prairie View A & M University (Prairie View, TX) | Colleges and universities",
73,"Action Bulletin",1982,,"Lexington","Mississippi","Rural Organizing and Cultural Center","Southern States—Rural conditions | Southern States—Economic conditions",
74,"Action for Interracial Understanding",1961,1964,"Chicago","Illinois","North American Federation of the Third Order of St. Francis","Religion | Race relations | Catholic Church",
75,"Action Update",1993,1996,"Hyattsville","Maryland","Quixote Center","Political prisoners | Death row inmates | Abu-Jamal, Mumia",
76,"Adam Black Video Directory",1998,,"Los Angeles","California","Knight Publishing Corp","Adult films and videos",
77,"The Adams Gazette: The Voice of the James Adams School",1925,,"Coatesville","Pennsylvania","James Adams School","James Adams School (Coatesville, PA) | Education (Primary)",
78,"The Adept Quarterly",1965,,"Houston","Texas","Ayers, Vivian","Short stories | Poetry | Photography | Essays",
79,"AD-HOC: Advocacy through Diversity-Helping Our Children",1972,,"New York","New York","National Urban League, Education Division","Social conditions | National Urban League Inc.—Education Division | Education (Primary)",
80,"Administrative Bulletin",1977,1978,"Daytona Beach","Florida","Bethune-Cookman College, Office of the President","Colleges and universities—Faculty and staff | Bethune-Cookman College (Daytona Beach, FL)",
81,"Adult Christian Life",1984,,"Nashville","Tennessee","National Baptist Publishing Board","Religion | Baptist Church",
85,"Advance: The Struggle for Negro Liberation",1948,1949,"Detroit","Michigan","Michigan State Committee, Communist Party, USA","Radical politics | Communist Party, USA (Detroit, MI) | Columbia Lodge No. | Civil rights",
