Lat,Lon,City,State,Highlight,Decade,Count,Links
40.926476,-74.03924,"River Edge","New Jersey","All","All",2,0
40.926476,-74.03924,"River Edge","New Jersey","All","1990",2,0
40.926476,-74.03924,"River Edge","New Jersey","Music","1990",1,0
40.926476,-74.03924,"River Edge","New Jersey","Music","All",1,0
47.611435,-122.330456,"Seattle","Washington","All","All",36,0
47.611435,-122.330456,"Seattle","Washington","All","1990",10,0
47.611435,-122.330456,"Seattle","Washington","Comic","1990",1,0
47.611435,-122.330456,"Seattle","Washington","Comic","All",1,0
31.671111,-86.712222,"Chapman","Alabama","All","All",1,0
31.671111,-86.712222,"Chapman","Alabama","All","1930",1,0
29.960484,-90.075301,"New Orleans","Louisiana","All","All",104,0
29.960484,-90.075301,"New Orleans","Louisiana","All","1980",22,0
29.960484,-90.075301,"New Orleans","Louisiana","Education","1980",2,0
29.960484,-90.075301,"New Orleans","Louisiana","Education","All",7,0
32.2999,-90.1843,"Jackson","Mississippi","All","All",83,0
32.2999,-90.1843,"Jackson","Mississippi","All","1970",23,0
32.2999,-90.1843,"Jackson","Mississippi","All","1980",28,0
40.74838,-73.996705,"New York","New York","All","All",653,2
40.74838,-73.996705,"New York","New York","All","1960",105,0
40.74838,-73.996705,"New York","New York","Education","1960",14,0
40.74838,-73.996705,"New York","New York","History","1960",6,0
40.74838,-73.996705,"New York","New York","Poetry","1960",14,0
40.74838,-73.996705,"New York","New York","All","1970",147,0
40.74838,-73.996705,"New York","New York","Education","1970",18,0
40.74838,-73.996705,"New York","New York","History","1970",5,0
40.74838,-73.996705,"New York","New York","Poetry","1970",15,0
40.74838,-73.996705,"New York","New York","Education","All",49,0
40.74838,-73.996705,"New York","New York","History","All",24,1
40.74838,-73.996705,"New York","New York","Poetry","All",50,1
38.912217,-77.017691,"Washington","District of Columbia","All","All",543,1
38.912217,-77.017691,"Washington","District of Columbia","All","1940",53,0
24.565313,-81.762179,"Key West","Florida","All","All",1,0
24.565313,-81.762179,"Key West","Florida","All","1980",1,0
24.565313,-81.762179,"Key West","Florida","Music","1980",1,0
24.565313,-81.762179,"Key West","Florida","Music","All",1,0
41.308,-72.9286,"New Haven","Connecticut","All","All",20,0
41.308,-72.9286,"New Haven","Connecticut","All","1980",5,0
38.912217,-77.017691,"Washington","District of Columbia","All","1980",122,0
37.8691,-122.2696,"Berkeley","California","All","All",31,1
37.8691,-122.2696,"Berkeley","California","All","1990",8,1
37.8691,-122.2696,"Berkeley","California","Music","1990",2,0
37.8691,-122.2696,"Berkeley","California","Music","All",6,0
31.701324,-85.817668,"Brundidge","Alabama","All","All",1,0
31.701324,-85.817668,"Brundidge","Alabama","All","1930",1,0
36.8466,-76.2855,"Norfolk","Virginia","All","All",24,0
36.8466,-76.2855,"Norfolk","Virginia","All","1980",5,0
36.8466,-76.2855,"Norfolk","Virginia","Art","1980",3,0
36.8466,-76.2855,"Norfolk","Virginia","Art","All",3,0
36.069741,-79.768151,"Greensboro","North Carolina","All","All",27,0
36.069741,-79.768151,"Greensboro","North Carolina","All","1960",4,0
36.069741,-79.768151,"Greensboro","North Carolina","Education","1960",1,0
36.069741,-79.768151,"Greensboro","North Carolina","Education","All",4,0
36.069741,-79.768151,"Greensboro","North Carolina","All","1920",2,0
36.069741,-79.768151,"Greensboro","North Carolina","All","1910",1,0
36.069741,-79.768151,"Greensboro","North Carolina","All","1980",7,0
37.780595,-122.216587,"Oakland","California","All","All",43,1
37.780595,-122.216587,"Oakland","California","All","1990",4,0
37.780595,-122.216587,"Oakland","California","Education","1990",1,0
37.780595,-122.216587,"Oakland","California","Education","All",4,0
38.912217,-77.017691,"Washington","District of Columbia","All","1990",101,0
41.510183,-87.740648,"Matteson","Illinois","All","All",1,0
41.510183,-87.740648,"Matteson","Illinois","All","1990",1,0
29.960484,-90.075301,"New Orleans","Louisiana","All","1990",15,0
29.960484,-90.075301,"New Orleans","Louisiana","History","1990",2,0
29.960484,-90.075301,"New Orleans","Louisiana","History","All",8,0
38.912217,-77.017691,"Washington","District of Columbia","History","1980",6,0
38.912217,-77.017691,"Washington","District of Columbia","History","All",25,0
38.912217,-77.017691,"Washington","District of Columbia","All","1960",64,0
38.912217,-77.017691,"Washington","District of Columbia","All","1970",141,0
44.983473,-93.268251,"Minneapolis","Minnesota","All","All",35,0
44.983473,-93.268251,"Minneapolis","Minnesota","All","1960",4,0
44.983473,-93.268251,"Minneapolis","Minnesota","Music","1960",1,0
44.983473,-93.268251,"Minneapolis","Minnesota","Music","All",2,0
