ID#,Problem,Name
10,frequency,
15,start date,
24,start date,
35,geography,"ABA Flash"
43,geography,"The Abolitionist"
45,geography,"A'Bout Face"
52,start date,
63,start date,
64,start date,
82,start date,
102,start date,
110,geography,"Africa Speaks: the Voice of the Colored Man in Canada."
112,geography,"AFRI-CAN: or African Canadian Business Directory Magazine"
121,frequency,
155,geography,"The African Letter"
164,geography,"The African Nova Scotian Worker"
217,geography,"The Afro Canadian"
220,geography,"The Afro News"
226,frequency,
251,frequency,
252,start date,
262,geography,"Afro-American Studies: An Interdisciplinary Journal."
264,start date,
270,geography,"Afro-Americans Against the War in Vietnam Newsletter."
280,frequency,
302,geography,"TheAkili Newsletter"
306,start date,
313,start date,
323,geography,"“The Alarm”"
360,start date,
441,geography,"Amsha"
461,geography,"Anti-Slavery Reporter"
468,start date,
492,geography,"Arkansas Mirror"
520,frequency,
521,frequency,
523,frequency,
525,frequency,
530,geography,"At the Crossroads"
579,frequency,
580,geography,"Ayiti Ekran"
583,start date,
600,frequency,
601,frequency,
604,frequency,
694,geography,"The Bermuda Times"
699,frequency,
700,frequency,
707,start date,
743,start date,
753,frequency,
781,geography,"Black Bull: The Black Community"
782,frequency,
786,frequency,
789,frequency,
825,frequency,
826,frequency,
854,geography,"Black Focus"
871,frequency,
878,frequency,
880,geography,"The Black I"
882,geography,"Black Images"
897,geography,"Black Liberation"
900,start date,
902,geography,"Black Liberation News"
910,start date,
914,geography,"Black Magic"
917,geography,"The Black Man"
928,geography,"Black Music"
929,geography,"Black Music and Jazz Review"
948,geography,"Black Orpheus"
1027,geography,"The Black Student Voice"
1050,frequency,
1057,geography,"Black Truth Bulletin"
1069,start date,
1072,geography,"The Black Voice"
1105,geography,"The Blackman"
1111,frequency,
1113,geography,"Blacks V Asia"
1138,geography,"Blues & Rhythm - The Gospel Truth"
1139,start date,
1142,geography,"Blues Unlimited"
1210,start date,
1234,geography,"Brunswick Herald"
1296,geography,"Bunk Johnson Appreciation Society"
1297,geography,"Bunk Johnson Information"
1323,geography,"CAAR Newsletter"
1384,geography,"Canon Roar"
1410,geography,"Caribbean Journal of Religious Studies"
